Devices
1000
		Imported Bertec Force Plate #1 - Force			Imported Bertec Force Plate #1 - Moment			Imported Bertec Force Plate #1 - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
236	2	15.7842	-1.25845	-336.241	-911.649	28333.1	-1010.68	284.264	302.711	0
236	3	15.7961	-1.21811	-334.867	-900.721	28238.9	-1016.81	284.328	302.69	0
236	4	15.8015	-1.17642	-333.511	-889.098	28144.2	-1021.05	284.388	302.666	0
236	5	15.7998	-1.13329	-332.172	-877.022	28049.3	-1023.36	284.442	302.64	0
236	6	15.7903	-1.08863	-330.854	-864.739	27954.3	-1023.7	284.491	302.614	0
236	7	15.7725	-1.04235	-329.558	-852.506	27859.4	-1022.05	284.536	302.587	0
236	8	15.7459	-0.994388	-328.286	-840.58	27764.6	-1018.39	284.574	302.561	0
236	9	15.7098	-0.944662	-327.039	-829.226	27670.1	-1012.69	284.608	302.536	0
237	0	15.6638	-0.893102	-325.821	-818.709	27576.1	-1004.94	284.636	302.513	0
237	1	15.6072	-0.839647	-324.632	-809.295	27482.7	-995.15	284.658	302.493	0
237	2	15.5396	-0.784238	-323.475	-801.25	27390	-983.316	284.674	302.477	0
237	3	15.4606	-0.726827	-322.351	-794.836	27298.2	-969.452	284.685	302.466	0
237	4	15.3696	-0.667372	-321.262	-790.309	27207.5	-953.576	284.69	302.46	0
237	5	15.2662	-0.605839	-320.21	-787.921	27118	-935.717	284.688	302.461	0
237	6	15.15	-0.542206	-319.197	-787.914	27029.8	-915.907	284.681	302.468	0
237	7	15.0206	-0.476459	-318.225	-790.517	26943.2	-894.19	284.667	302.484	0
237	8	14.8778	-0.408595	-317.295	-795.95	26858.1	-870.613	284.647	302.509	0
237	9	14.7213	-0.338623	-316.409	-804.415	26774.9	-845.234	284.621	302.542	0
238	0	14.5508	-0.266562	-315.569	-816.101	26693.5	-818.118	284.589	302.586	0
238	1	14.366	-0.192446	-314.775	-831.177	26614.3	-789.336	284.55	302.641	0
238	2	14.167	-0.116317	-314.029	-849.791	26537.3	-758.966	284.506	302.706	0
